Tiempos Parallel:
t	t²
2.35525	5.54718
2.35078	5.52615
2.36849	5.60975
2.35475	5.54485
2.35866	5.56329
2.34425	5.49553
2.32806	5.41986
2.31931	5.37921
2.34012	5.47618
2.36108	5.5747
2.36719	5.60359
2.34029	5.47694
2.29964	5.28834
2.33583	5.45613
2.33234	5.4398
2.33165	5.43658
2.36837	5.60916
2.33133	5.4351
2.298	5.28081
2.37887	5.65901
2.37375	5.63468
2.3519	5.53145
2.36893	5.61183
2.33351	5.44529
2.37135	5.62329
2.34342	5.49162
2.33202	5.4383
2.36162	5.57727
2.33256	5.44085
2.33415	5.44825
2.30611	5.31815
2.4104	5.81002
2.32803	5.41971
2.35915	5.56557
2.34641	5.50565
2.42641	5.88745
2.35646	5.55289
2.37786	5.65419
2.37154	5.6242
2.29701	5.27624
2.36069	5.57285
2.35996	5.56939
2.33193	5.4379
2.35766	5.55857
2.32296	5.39614
2.34481	5.49814
2.38904	5.70751
2.32009	5.38279
2.36267	5.58219
2.35464	5.54433
2.3423	5.48637
2.32619	5.41117
2.38195	5.6737
2.31418	5.35543
2.36455	5.59111
2.3463	5.50511
2.35337	5.53836
2.3232	5.39724
2.35259	5.5347
2.3726	5.62921
2.36321	5.58478
2.36436	5.5902
2.35105	5.52744
2.2992	5.28632
2.34367	5.49278
2.39064	5.71514
2.37537	5.64238
2.34677	5.50731
2.27325	5.16766
2.35897	5.56472
2.30781	5.326
2.34378	5.49329
2.34581	5.50281
2.36068	5.57281
2.38133	5.67072
2.32534	5.40721
2.36952	5.61462
2.3909	5.7164
2.32149	5.38931
2.34783	5.51231
2.36288	5.58322
2.44009	5.95402
2.44533	5.97963
2.49126	6.2064
2.43728	5.94032
2.6466	7.00448
2.31182	5.3445
2.3436	5.49245
2.32026	5.3836
2.25883	5.10232
2.31272	5.34869
2.29155	5.25122
2.30039	5.29179
2.34555	5.50161
2.25779	5.09763
2.27433	5.17257
2.24571	5.04323
2.27596	5.18
2.31052	5.33848
2.29104	5.24885
