Tiempos Serial:
t	t²
9.5559	91.3152
10.6456	113.33
9.27232	85.976
9.05152	81.9301
9.42742	88.8762
8.55192	73.1353
8.44323	71.2882
8.4474	71.3586
9.12129	83.1979
9.58562	91.8842
9.63817	92.8944
9.73158	94.7037
8.52193	72.6234
8.62472	74.3858
8.5348	72.8429
8.71762	75.997
8.60364	74.0226
8.98952	80.8114
9.59183	92.0032
10.1336	102.69
9.30871	86.652
9.44979	89.2985
9.43994	89.1124
8.48499	71.995
8.35744	69.8468
8.3787	70.2025
8.35157	69.7487
8.38119	70.2444
8.45772	71.533
8.42715	71.0168
8.39027	70.3966
8.45651	71.5126
8.44422	71.3049
8.38218	70.2609
8.37944	70.2151
8.38339	70.2813
8.38998	70.3918
8.38941	70.3822
8.37909	70.2092
8.38376	70.2874
8.39241	70.4325
8.4157	70.8239
8.41841	70.8697
8.36332	69.9451
8.77644	77.0258
8.43096	71.0811
8.39371	70.4543
8.38882	70.3723
8.4429	71.2826
8.40983	70.7252
8.38735	70.3477
8.3664	69.9966
8.38797	70.3581
8.42315	70.9494
9.08186	82.4801
8.48532	72.0007
8.76209	76.7741
8.50937	72.4094
8.48834	72.0519
9.10796	82.9549
8.87934	78.8427
9.11963	83.1677
9.37659	87.9205
8.94354	79.987
8.59064	73.7991
9.54892	91.182
8.90662	79.3279
8.50251	72.2927
8.44214	71.2698
8.3904	70.3988
8.38472	70.3036
8.4334	71.1223
8.39784	70.5236
8.39633	70.4984
8.4052	70.6475
8.39832	70.5318
8.36701	70.0068
8.40377	70.6233
8.38505	70.3091
8.37973	70.2198
8.38831	70.3638
8.38037	70.2307
8.40776	70.6904
8.38642	70.3321
8.46644	71.6807
8.38889	70.3734
8.39052	70.4007
8.38114	70.2435
8.40627	70.6654
8.41654	70.8381
8.38567	70.3195
8.39863	70.5371
8.38539	70.3148
8.39363	70.4531
8.42011	70.8983
8.5296	72.754
9.20645	84.7588
8.47519	71.8289
8.39183	70.4229
8.72867	76.1897
